X,Y,NAME_LONG,ISO_A3,X_CENTER,Y_CENTER
66.09,33.86,Afghanistan,AFG,66.090000000000003,33.859999999999999
17.47,-12.25,Angola,AGO,17.469999999999999,-12.250000000000000
20.03,41.14,Albania,ALB,20.030000000000001,41.140000000000001
54.21,23.87,United Arab Emirates,ARE,54.210000000000001,23.870000000000001
-65.18,-35.45,Argentina,ARG,-65.180000000000007,-35.450000000000003
45.0,40.22,Armenia,ARM,45.000000000000000,40.219999999999999
20.57,-80.49,Antarctica,ATA,20.570000000000000,-80.489999999999995
69.53,-49.31,French Southern and Antarctic Lands,ATF,69.530000000000001,-49.310000000000002
134.5,-25.73,Australia,AUS,134.500000000000000,-25.730000000000000
14.08,47.61,Austria,AUT,14.080000000000000,47.609999999999999
47.55,40.22,Azerbaijan,AZE,47.549999999999997,40.219999999999999
29.91,-3.38,Burundi,BDI,29.910000000000000,-3.380000000000000
4.58,50.65,Belgium,BEL,4.580000000000000,50.649999999999999
2.34,9.65,Benin,BEN,2.340000000000000,9.650000000000000
-1.78,12.31,Burkina Faso,BFA,-1.780000000000000,12.310000000000000
90.27,23.84,Bangladesh,BGD,90.269999999999996,23.840000000000000
25.2,42.75,Bulgaria,BGR,25.199999999999999,42.750000000000000
-77.93,25.52,Bahamas,BHS,-77.930000000000007,25.520000000000000
17.82,44.18,Bosnia and Herzegovina,BIH,17.820000000000000,44.180000000000000
27.98,53.51,Belarus,BLR,27.980000000000000,53.509999999999998
-88.7,17.2,Belize,BLZ,-88.700000000000003,17.199999999999999
-64.64,-16.73,Bolivia,BOL,-64.640000000000001,-16.730000000000000
-53.05,-10.81,Brazil,BRA,-53.049999999999997,-10.810000000000000
114.92,4.69,Brunei Darussalam,BRN,114.920000000000000,4.690000000000000
90.47,27.43,Bhutan,BTN,90.469999999999999,27.430000000000000
23.77,-22.1,Botswana,BWA,23.770000000000000,-22.100000000000001
20.37,6.54,Central African Republic,CAF,20.370000000000001,6.540000000000000
-108.16572120599682,50.968914418237027,Canada,CAN,-98.140000000000001,61.469999999999999
8.12,46.79,Switzerland,CHE,8.119999999999999,46.789999999999999
-71.52,-39.05,Chile,CHL,-71.519999999999996,-39.049999999999997
108.61943184283486,31.737514657248095,China,CHN,103.880000000000000,36.560000000000002
-5.61,7.55,C���te d'Ivoire,CIV,-5.610000000000000,7.550000000000000
12.61,5.66,Cameroon,CMR,12.609999999999999,5.660000000000000
23.58,-2.85,Democratic Republic of the Congo,COD,23.579999999999998,-2.850000000000000
15.13,-0.84,Republic of Congo,COG,15.130000000000001,-0.840000000000000
-73.08,3.93,Colombia,COL,-73.079999999999998,3.930000000000000
-84.18,9.97,Costa Rica,CRI,-84.180000000000007,9.970000000000001
-78.96,21.63,Cuba,CUB,-78.959999999999994,21.629999999999999
33.56,35.27,Northern Cyprus,-99,33.560000000000002,35.270000000000003
33.04,34.91,Cyprus,CYP,33.039999999999999,34.909999999999997
15.33,49.78,Czech Republic,CZE,15.330000000000000,49.780000000000001
10.29,51.13,Germany,DEU,10.289999999999999,51.130000000000003
42.5,11.77,Djibouti,DJI,42.500000000000000,11.770000000000000
9.88,56.06,Denmark,DNK,9.880000000000001,56.060000000000002
-70.46,18.88,Dominican Republic,DOM,-70.459999999999994,18.879999999999999
2.6,28.19,Algeria,DZA,2.600000000000000,28.190000000000001
-78.38,-1.45,Ecuador,ECU,-78.379999999999995,-1.450000000000000
29.84,26.51,Egypt,EGY,29.840000000000000,26.510000000000002
38.68,15.43,Eritrea,ERI,38.680000000000000,15.430000000000000
-3.62,40.35,Spain,ESP,-3.620000000000000,40.350000000000001
25.82,58.64,Estonia,EST,25.820000000000000,58.640000000000001
39.55,8.65,Ethiopia,ETH,39.549999999999997,8.650000000000000
26.21,64.5,Finland,FIN,26.210000000000001,64.500000000000000
163.85,-17.32,Fiji,FJI,163.849999999999990,-17.320000000000000
-59.42,-51.71,Falkland Islands,FLK,-59.420000000000002,-51.710000000000001
1.677146002725824,45.22646224261144,France,FRA,-2.880000000000000,42.460000000000001
11.69,-0.65,Gabon,GAB,11.690000000000000,-0.650000000000000
-1.391713279127748,51.82610761865714,United Kingdom,GBR,-2.850000000000000,53.909999999999997
43.48,42.16,Georgia,GEO,43.479999999999997,42.159999999999997
-1.24,7.93,Ghana,GHA,-1.240000000000000,7.930000000000000
-11.06,10.45,Guinea,GIN,-11.060000000000000,10.449999999999999
-15.43,13.48,The Gambia,GMB,-15.430000000000000,13.480000000000000
-15.11,12.02,Guinea-Bissau,GNB,-15.109999999999999,12.020000000000000
10.37,1.65,Equatorial Guinea,GNQ,10.369999999999999,1.650000000000000
22.72,39.07,Greece,GRC,22.719999999999999,39.070000000000000
